Company,Symbol,Weight
Mccormick & Co Non Vtg Shrs,MKC,0.063453
Church & Dwight Co Inc,CHD,0.063041
Monolithic Power Systems Inc,MPWR,0.061883
Equity Residential,EQR,0.061677
M & T Bank Corp,MTB,0.061491
Align Technology Inc,ALGN,0.061049
Weyerhaeuser Co,WY,0.060849
Genuine Parts Co,GPC,0.060495
Ameren Corporation,AEE,0.060295
Dte Energy Company,DTE,0.060225
Cardinal Health Inc,CAH,0.059935
Baxter International Inc,BAX,0.059435
Ulta Beauty Inc,ULTA,0.059326
Take Two Interactive Softwre,TTWO,0.058588
Firstenergy Corp,FE,0.058119
Intl Flavors & Fragrances,IFF,0.057764
Entergy Corp,ETR,0.057606
Steris Plc,STE,0.057557
Hewlett Packard Enterprise,HPE,0.056699
Verisign Inc,VRSN,0.056523
Dover Corp,DOV,0.05619
Darden Restaurants Inc,DRI,0.056012
Extra Space Storage Inc,EXR,0.055958
Invitation Homes Inc,INVH,0.055551
Royal Caribbean Cruises Ltd,RCL,0.055429
Coterra Energy Inc,CTRA,0.054895
Hologic Inc,HOLX,0.054888
Ppl Corp,PPL,0.054726
Laboratory Crp of Amer Hldgs,LH,0.054528
Insulet Corp,PODD,0.054198
Clorox Company,CLX,0.054124
Nasdaq Inc,NDAQ,0.053779
Alexandria Real Estate Equit,ARE,0.053611
Omnicom Group,OMC,0.053541
Las Vegas Sands Corp,LVS,0.053436
Fair Isaac Corp,FICO,0.053227
First Solar Inc,FSLR,0.053045
Raymond James Financial Inc,RJF,0.052185
Teledyne Technologies Inc,TDY,0.05213
Fifth Third Bancorp,FITB,0.051933
Expeditors Intl Wash Inc,EXPD,0.051877
Ventas Inc,VTR,0.051852
Southwest Airlines Co,LUV,0.051014
Centerpoint Energy Inc,CNP,0.050966
Wabtec Corp,WAB,0.050636
Broadridge Financial Solutio,BR,0.050536
Mid America Apartment Comm,MAA,0.050011
Cms Energy Corp,CMS,0.049164
Fleetcor Technologies Inc,FLT,0.048897
Regions Financial Corp,RF,0.048888
Nvr Inc,NVR,0.048716
Cooper Cos Inc,COO,0.048354
Howmet Aerospace Inc,HWM,0.047411
Kellogg Co,K,0.047405
Steel Dynamics Inc,STLD,0.046951
Atmos Energy Corp,ATO,0.046859
Skyworks Solutions Inc,SWKS,0.046797
Ball Corp,BALL,0.046211
Molina Healthcare Inc,MOH,0.045948
Iron Mountain Inc,IRM,0.045786
Targa Resources Corp,TRGP,0.045718
Huntington Bancshares Inc,HBAN,0.045578
Cincinnati Financial Corp,CINF,0.045492
Teradyne Inc,TER,0.045443
Garmin Ltd,GRMN,0.045437
Solaredge Technologies Inc,SEDG,0.045312
Expedia Group Inc,EXPE,0.045289
Principal Financial Group,PFG,0.045253
Tyler Technologies Inc,TYL,0.045123
Conagra Brands Inc,CAG,0.045116
Pultegroup Inc,PHM,0.045107
United Airlines Holdings Inc,UAL,0.045047
Lamb Weston Holdings Inc,LW,0.044659
Jm Smucker Co,SJM,0.0443
Northern Trust Corp,NTRS,0.043699
Idex Corp,IEX,0.043451
Marathon Oil Corp,MRO,0.043073
Netapp Inc,NTAP,0.043018
Interpublic Group of Cos Inc,IPG,0.042943
Waters Corp,WAT,0.042776
Factset Research Systems Inc,FDS,0.042514
Amcor Plc,AMCR,0.042271
Quest Diagnostics Inc,DGX,0.041836
Synchrony Financial,SYF,0.041766
Brown & Brown Inc,BRO,0.041672
Best Buy Co Inc,BBY,0.041636
Jacobs Solutions Inc,J,0.041588
Essex Property Trust Inc,ESS,0.04128
Paycom Software Inc,PAYC,0.041089
Akamai Technologies Inc,AKAM,0.040999
Tyson Foods Inc Cl A,TSN,0.040962
Hunt (Jb) Transprt Svcs Inc,JBHT,0.040598
Revvity Inc,RVTY,0.04054
Ptc Inc,PTC,0.040426
Snap on Inc,SNA,0.040117
Zebra Technologies Corp Cl A,ZBRA,0.039965
Citizens Financial Group,CFG,0.039682
Bunge Ltd,BG,0.039515
Eqt Corp,EQT,0.039401
Avery Dennison Corp,AVY,0.039228
Cboe Global Markets Inc,CBOE,0.039079
Fmc Corp,FMC,0.03904
Textron Inc,TXT,0.03861
Aes Corp,AES,0.038602
Lkq Corp,LKQ,0.038578
Everest Re Group Ltd,RE,0.038391
Evergy Inc,EVRG,0.038291
Alliant Energy Corp,LNT,0.037463
Cf Industries Holdings Inc,CF,0.037455
Axon Enterprise Inc,AXON,0.037325
Mgm Resorts International,MGM,0.036902
Pool Corp,POOL,0.036883
Carnival Corp,CCL,0.036491
Bio Techne Corp,TECH,0.036155
Udr Inc,UDR,0.036081
Western Digital Corp,WDC,0.03571
Stanley Black & Decker Inc,SWK,0.035679
Carmax Inc,KMX,0.035484
Trimble Inc,TRMB,0.035443
Host Hotels & Resorts Inc,HST,0.035408
Nordson Corp,NDSN,0.034994
Camden Property Trust,CPT,0.034865
Packaging Corp of America,PKG,0.034763
Molson Coors Beverage Co   B,TAP,0.034549
Mosaic Co,MOS,0.034462
Masco Corp,MAS,0.034398
Epam Systems Inc,EPAM,0.033515
Kimco Realty Corp,KIM,0.033099
Viatris Inc,VTRS,0.032906
Wr Berkley Corp,WRB,0.032728
Live Nation Entertainment In,LYV,0.032714
Celanese Corp,CE,0.032639
Healthpeak Properties Inc,PEAK,0.032609
Brown Forman Corp Class B,BF.B,0.032598
Hormel Foods Corp,HRL,0.032489
Loews Corp,L,0.032389
International Paper Co,IP,0.0323
Seagate Technology Holdings,STX,0.032158
Incyte Corp,INCY,0.031803
Jack Henry & Associates Inc,JKHY,0.031748
Teleflex Inc,TFX,0.031474
Leidos Holdings Inc,LDOS,0.031366
Apa Corp,APA,0.031225
Borgwarner Inc,BWA,0.030968
Nisource Inc,NI,0.030818
Match Group Inc,MTCH,0.030715
Etsy Inc,ETSY,0.030636
C.H. Robinson Worldwide Inc,CHRW,0.030178
Wynn Resorts Ltd,WYNN,0.030118
Domino S Pizza Inc,DPZ,0.029664
Charles River Laboratories,CRL,0.028915
Tapestry Inc,TPR,0.028886
